Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
<!--Dishong Tower Challenge-->,,,,,,"","","","","","","","","","","","","",""
player_floor_level_0,windows,UI,,,,"Underground","","Untergeschoss","Sótano","Sous-sol","Interrato","??","??","Podziemie","Subsolo","????????? ????","Yer alti","???","???"
player_floor_level_1,windows,UI,,,,"1st Floor","","Erdgeschoss","Planta baja","Rez-de-chaussée","Pianoterra","1?","1?","Parter","Andar térreo","1-? ????","Zemin kat","??","??"
player_floor_level_2,windows,UI,,,,"2nd Floor","","1. Stock","1º piso","1er étage","1° piano","2?","2?","1. pietro","1º andar","2-? ????","1. kat","??","??"
player_floor_level_3,windows,UI,,,,"3rd Floor","","2. Stock","2º piso","2e étage","2° piano","3?","3?","2. pietro","2º andar","3-? ????","2. kat","??","??"
player_floor_level_4,windows,UI,,,,"4th Floor","","3. Stock","3º piso","3e étage","3° piano","4?","4?","3. pietro","3º andar","4-? ????","3. kat","??","??"
player_floor_level_5,windows,UI,,,,"5th Floor","","4. Stock","4º piso","4e étage","4° piano","5?","5?","4. pietro","4º andar","5-? ????","4. kat","??","??"
player_floor_level_6,windows,UI,,,,"6th Floor","","5. Stock","5º piso","5e étage","5° piano","6?","6?","5. pietro","5º andar","6-? ????","5. kat","??","??"
player_floor_level_7,windows,UI,,,,"7th Floor","","6. Stock","6º piso","6e étage","6° piano","7?","7?","6. pietro","6º andar","7-? ????","6. kat","??","??"
player_floor_level_8,windows,UI,,,,"8th Floor","","7. Stock","7º piso","7e étage","7° piano","8?","8?","7. pietro","7º andar","8-? ????","7. kat","??","??"
player_floor_level_9,windows,UI,,,,"9th Floor","","8. Stock","8º piso","8e étage","8° piano","9?","9?","8. pietro","8º andar","9-? ????","9. kat","??","??"
player_floor_level_10,windows,UI,,,,"10th Floor","","9. Stock","9º piso","9e étage","9° piano","10?","10?","9. pietro","9º andar","10-? ????","10. kat","??","??"
player_floor_level_11,windows,UI,,,,"11th Floor","","10. Stock","10º piso","10e étage","10° piano","11?","11?","10. pietro","10º andar","11-? ????","11. kat","???","???"
player_floor_level_12,windows,UI,,,,"12th Floor","","11. Stock","11º piso","11e étage","11° piano","12?","12?","11. pietro","11º andar","12-? ????","12. kat","???","???"
player_floor_level_13,windows,UI,,,,"13th Floor","","12. Stock","12º piso","12e étage","12° piano","13?","13?","12. pietro","12º andar","13-? ????","13. kat","???","???"
player_floor_level_14,windows,UI,,,,"Rooftop","","Dachterrasse","Azotea","Toit-terrasse","Terrazza","??","??","Dach","Cobertura","?????","Çati","??","??"
