Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
windowESC_color_header_motto,,UI,,,An AuroraGiggleFairy 7d2d Server,UI,,,,,,,,,,,,
windowESC_color_header_title,,UI,,,Twilight Realm,UI,,,,,,,,,,,,
windowESC_color_link_1_label,,UI,,,[FFFFFF]AGF's Discord[-],UI,,,,,,,,,,,,
windowESC_color_link_2_label,,UI,,,[FFFFFF]AGF's Mods[-],UI,,,,,,,,,,,,
windowESC_color_link_3_label,,UI,,,[FFFFFF]Donate to Server[-],UI,,,,,,,,,,,,
windowESC_color_options_title,,UI,,,Options,UI,,,,,,,,,,,,
windowESC_color_page_1_body,,UI,,,"My name is [FFFFFF]AuroraGiggleFairy[-] and welcome to my server!\n\nI created this server to have a fun space to play 7d2d and expand my abilities as a modder:\n  - making new mods, making mods work together, improving my mods... modding is life.\n\nBy joining my server you have essentially become my guinea pig! [FFFFFF]*Evil Laugh*[-]\n\nMy biggest goal is to create an enjoyable 7d2d experience that is ever expanding!\n\nFeedback and suggestions are both [FFFFFF]WELCOMED[-] and [FFFFFF]PIVOTAL[-] for success!\n\nThis [FFFFFF]Server Information Window[-] is available in game by pushing [FFFFFF]ESC[-]. Hopefully you can find ALL The details you may need.\n\nPlease join my [FFFFFF]Discord[-] as information and updates are shared there. [FFFFFF](Discord Link Above)[-]\n\nAgain, welcome to my [8DB580]Twilight Realm[-]!\n\nHappy modding... erm... HUNTING... and Enjoy!\n\n- [FFFFFF]AGF[-]",UI,,,,,,,,,,,,
windowESC_color_page_1_button,,UI,,,[FFFFFF]Welcome[-],UI,,,,,,,,,,,,
windowESC_color_page_1_title,,UI,,,Welcome,UI,,,,,,,,,,,,
windowESC_color_page_2_body,,UI,,,"[8DB580]1.[-] PvE ONLY, which means please respect people's builds, homes, and things.\n\n[8DB580]2.[-] You ARE allowed to take over a POI as a base.\n\n[8DB580]3.[-] You may play with Twitch Integration, but please keep away from other people's things just in case.\n\n[8DB580]4.[-] Use the ally system with only people in your crew, and use passwords on all storages and doors.\n\n[8DB580]5.[-] Use your 5 landclaims and only use them on your territories.\n\n[8DB580]6.[-] RESIST giving things away for free! Make outsiders pay!!!\n\n[8DB580]7.[-] Any issues, please report to [FFFFFF]AuroraGiggleFairy[-] directly in discord. [FFFFFF](Discord Link Above)[-]",UI,,,,,,,,,,,,
windowESC_color_page_2_button,,UI,,,[FFFFFF]Rules[-],UI,,,,,,,,,,,,
windowESC_color_page_2_title,,UI,,,Rules,UI,,,,,,,,,,,,
windowESC_color_page_3_body,,UI,,,"[8DB580]VISITING A TRADER?[-]\n - PLEASE keep the trader gates closed!!! Help keep trader areas safe.\n\n[8DB580]QUESTING WITH OTHERS?[-]\n - Unless quest owner states otherwise, owners get loot room and reading material.\n\n[8DB580]WANT TO AVOID BLOODMOON?[-]\n - If you are the only one online, please log off by noon before blood moon.\n\n[8DB580]USING SOMEONE'S BLOODMOON BASE?[-]\n - Unless base owner states otherwise, help repair and/or provide resources.\n\n[8DB580]FINISHED BLOODMOON WITH OTHERS?[-]\n - Unless player states otherwise, try sharing the loot bags evenly.",UI,,,,,,,,,,,,
windowESC_color_page_3_button,,UI,,,[FFFFFF]Etiquette[-],UI,,,,,,,,,,,,
windowESC_color_page_3_title,,UI,,,Etiquette,UI,,,,,,,,,,,,
windowESC_color_page_4_body,,UI,,,[8DB580]/report[-] an optional way to report a bug to AGF.\n[8DB580]/loc[-] to share your coordinates in chat.\n\nWant your name in a different color? Let AGF know!\n\nMore will become available soon.,UI,,,,,,,,,,,,
windowESC_color_page_4_button,,UI,,,[FFFFFF]Commands[-],UI,,,,,,,,,,,,
windowESC_color_page_4_title,,UI,,,Commands,UI,,,,,,,,,,,,
windowESC_color_page_5_body,,UI,,,"[8DB580]BASICS:[-]\nMax Players at Once = 30\nGame World = Zenasa Valley\nGame Difficulty = 3 (Warrior)\n\n[8DB580]TIME:[-]\n24 Hour Cycle = 120 Minutes\nDaylight Length = 18 Hours\nBlood Moon Frequency = 14 Days\nLoot Respawn Days = 5\nAir Drops = Daily (Map Marks On)\n\n[8DB580]PLAYER:[-]\nParty Shared XP Kill Range = 1,000M\nCamera Mode = Any\nPlayer Killing = No Killing\nDrop on Death = Backpack Only\nLand Claim Count = 5\nLand Claim Size = 41 Blocks\nLand Claim Decay = Only by Admin\n\n[8DB580]WORLD:[-]\nBiome Progression = On\nStorm Frequency = 100%\nDaily Quest Limit = Unlimited\nJar Refund = 80%\nZombie Feral Sense = OFF\nAI Smell Mode = OFF\nZombie Day Speed = 0 (Walk)\nZombie Night Speed = 1 (Jog)\nZombie Feral Speed = 2 (Run)\nZombie Blood Moon Speed = 4 (Nightmare)\n\n[8DB580]DEFAULTS:[-]\nXP Multipler = 100%\nPlayer Block Damage = 100%\nAI Block Damage = 100%\nAI Blood Moon Block Damage = 100%\nLoot Abundance = 100%",UI,,,,,,,,,,,,
windowESC_color_page_5_button,,UI,,,[FFFFFF]Game Settings[-],UI,,,,,,,,,,,,
windowESC_color_page_5_title,,UI,,,Game Settings,UI,,,,,,,,,,,,
windowESC_color_page_6_body,,UI,,,[8DB580]02/08/2026[-]\n- Fixed the mod issue on the Thompson T3.\n- Other fixes.\n\n[8DB580]02/06/2026[-]\n- FarmingPlus update: Replantable Seeds!\n\n[8DB580]02/03/2026[-]\n- Added Server UI windows.\n- Foods from mod now stack to 50 instead of 25.,UI,,,,,,,,,,,,
windowESC_color_page_6_button,,UI,,,[FFFFFF]Changes Log[-],UI,,,,,,,,,,,,
windowESC_color_page_6_title,,UI,,,Changes Log,UI,,,,,,,,,,,,
