Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
cntRoboticInbox,blocks,Container,,,"Sorting Container",,"Sortierbehälter","Contenedor de clasificación","Conteneur de tri","Contenitore di smistamento","仕分け容器","컨테이너 정렬","Pojemnik sortujący","Caixote de armazenamento de triagem","Сортировочный контейнер","Sıralama kabı","分拣容器","分類容器"
cntRoboticInboxArmyGreen,blocks,Container,,,"Sorting Container",,"Sortierbehälter","Contenedor de clasificación","Conteneur de tri","Contenitore di smistamento","仕分け容器","컨테이너 정렬","Pojemnik sortujący","Caixote de armazenamento de triagem","Сортировочный контейнер","Sıralama kabı","分拣容器","分類容器"
cntRoboticInboxGreen,blocks,Container,,,"Sorting Container",,"Sortierbehälter","Contenedor de clasificación","Conteneur de tri","Contenitore di smistamento","仕分け容器","컨테이너 정렬","Pojemnik sortujący","Caixote de armazenamento de triagem","Сортировочный контейнер","Sıralama kabı","分拣容器","分類容器"
cntRoboticInboxGrey,blocks,Container,,,"Sorting Container",,"Sortierbehälter","Contenedor de clasificación","Conteneur de tri","Contenitore di smistamento","仕分け容器","컨테이너 정렬","Pojemnik sortujący","Caixote de armazenamento de triagem","Сортировочный контейнер","Sıralama kabı","分拣容器","分類容器"
cntRoboticInboxOrange,blocks,Container,,,"Sorting Container",,"Sortierbehälter","Contenedor de clasificación","Conteneur de tri","Contenitore di smistamento","仕分け容器","컨테이너 정렬","Pojemnik sortujący","Caixote de armazenamento de triagem","Сортировочный контейнер","Sıralama kabı","分拣容器","分類容器"
cntRoboticInboxPink,blocks,Container,,,"Sorting Container",,"Sortierbehälter","Contenedor de clasificación","Conteneur de tri","Contenitore di smistamento","仕分け容器","컨테이너 정렬","Pojemnik sortujący","Caixote de armazenamento de triagem","Сортировочный контейнер","Sıralama kabı","分拣容器","分類容器"
cntRoboticInboxCobalt,blocks,Container,,,"Sorting Container",,"Sortierbehälter","Contenedor de clasificación","Conteneur de tri","Contenitore di smistamento","仕分け容器","컨테이너 정렬","Pojemnik sortujący","Caixote de armazenamento de triagem","Сортировочный контейнер","Sıralama kabı","分拣容器","分類容器"
cntRoboticInboxPurple,blocks,Container,,,"Sorting Container",,"Sortierbehälter","Contenedor de clasificación","Conteneur de tri","Contenitore di smistamento","仕分け容器","컨테이너 정렬","Pojemnik sortujący","Caixote de armazenamento de triagem","Сортировочный контейнер","Sıralama kabı","分拣容器","分類容器"
cntRoboticInboxRed,blocks,Container,,,"Sorting Container",,"Sortierbehälter","Contenedor de clasificación","Conteneur de tri","Contenitore di smistamento","仕分け容器","컨테이너 정렬","Pojemnik sortujący","Caixote de armazenamento de triagem","Сортировочный контейнер","Sıralama kabı","分拣容器","分類容器"
cntRoboticInboxWhite,blocks,Container,,,"Sorting Container",,"Sortierbehälter","Contenedor de clasificación","Conteneur de tri","Contenitore di smistamento","仕分け容器","컨테이너 정렬","Pojemnik sortujący","Caixote de armazenamento de triagem","Сортировочный контейнер","Sıralama kabı","分拣容器","分類容器"
cntRoboticInboxYellow,blocks,Container,,,"Sorting Container",,"Sortierbehälter","Contenedor de clasificación","Conteneur de tri","Contenitore di smistamento","仕分け容器","컨테이너 정렬","Pojemnik sortujący","Caixote de armazenamento de triagem","Сортировочный контейнер","Sıralama kabı","分拣容器","分類容器"

cntRoboticInboxInsecure,blocks,Container,,,"Sorting Container, Insecure",,"Sortierbehälter, unsicher","Contenedor de clasificación no asegurado","Conteneur de tri non sécurisé","Contenitore di smistamento pericolante","仕分け容器　鍵無し","컨테이너 정렬 잠기지 않음","Pojemnik sortujący, niezabezpieczona","Caixote inseguro de armazenamento de triagem","Небезопасный сортировочный контейнер","Sıralama Konteyneri, Korumasız","分类容器，不安全","分類容器，不安全"
