Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
modArmorAdvancedMuffledConnectorsBundle,items,Bundle,,,"([ffb400]Bundle[ffffff]) [DECEA3]Mod-Armor[-] Muffled Connectors, Advanced",,"([ffb400]Bündeln[ffffff]) [DECEA3]Mod-Rüstung[-] Fortgeschrittene gedämpfte Verbindungs-Mod","([ffb400]Manojo[ffffff]) [DECEA3]Modificaciones-Armadura[-] Modificación de conectores de amortiguación avanzados","([ffb400]Paquet[ffffff]) [DECEA3]Modification-Armure[-] Modification de connecteurs étouffés avancés","([ffb400]impacchettare[ffffff]) [DECEA3]Mod-Armatura[-] Modifica avanzata dei connettori attutiti","([ffb400]包み[ffffff]) [DECEA3]MOD-アーマー[-] 高性能静音コネクター改造パーツ","([ffb400]일괄[ffffff]) [DECEA3]모드-방어구[-] 고급 소음 방지 연결 장치 개조","([ffb400]Pakiet[ffffff]) [DECEA3]Modyfikacja-Pancerz[-] Zaawansowane wytłumione połączenia — modyfikacja","([ffb400]Pacote[ffffff]) [DECEA3]Modificação-Armadura[-] Modificação de Conectores Abafados Avançados","([ffb400]пакет[ffffff]) [DECEA3]Модификация-Броня[-] Модификация «Улучш. бесшумные соединения»","([ffb400]bohça[ffffff]) [DECEA3]Mod-Zırh[-] Gelişmiş Sessiz Bağlantı Modu","([ffb400]包裹[ffffff]) [DECEA3]模组-护甲[-] 高级消音连接器模组","([ffb400]包裹[ffffff]) [DECEA3]模組-護甲[-] 高級消音器模組"
modArmorBandolierBundle,items,Bundle,,,"([ffb400]Bundle[ffffff]) [DECEA3]Mod-Armor[-] Bandolier",,"([ffb400]Bündeln[ffffff]) [DECEA3]Mod-Rüstung[-] Patronengurt-Mod","([ffb400]Manojo[ffffff]) [DECEA3]Modificaciones-Armadura[-] Modificación de bandolera","([ffb400]Paquet[ffffff]) [DECEA3]Modification-Armure[-] Modification de bandoulière","([ffb400]impacchettare[ffffff]) [DECEA3]Mod-Armatura[-] Modifica della bandoliera","([ffb400]包み[ffffff]) [DECEA3]MOD-アーマー[-] 弾帯改造パーツ","([ffb400]일괄[ffffff]) [DECEA3]모드-방어구[-] 탄띠 개조","([ffb400]Pakiet[ffffff]) [DECEA3]Modyfikacja-Pancerz[-] Pas na naboje — modyfikacja","([ffb400]Pacote[ffffff]) [DECEA3]Modificação-Armadura[-] Modificação de Bandoleira","([ffb400]пакет[ffffff]) [DECEA3]Модификация-Броня[-] Модификация «Патронташ»","([ffb400]bohça[ffffff]) [DECEA3]Mod-Zırh[-] Kayış Modu","([ffb400]包裹[ffffff]) [DECEA3]模组-护甲[-] 弹药带模组","([ffb400]包裹[ffffff]) [DECEA3]模組-護甲[-] 彈夾模組"
modArmorCoolingMeshBundle,items,Bundle,,,"([ffb400]Bundle[ffffff]) [DECEA3]Mod-Armor[-] Cooling Mesh",,"([ffb400]Bündeln[ffffff]) [DECEA3]Mod-Rüstung[-] Kühlmaschen-Mod","([ffb400]Manojo[ffffff]) [DECEA3]Modificaciones-Armadura[-] Modificación de malla fresca","([ffb400]Paquet[ffffff]) [DECEA3]Modification-Armure[-] Modification de maille aérée","([ffb400]impacchettare[ffffff]) [DECEA3]Mod-Armatura[-] Modifica della maglia rinfrescante","([ffb400]包み[ffffff]) [DECEA3]MOD-アーマー[-] クールメッシュ改造パーツ","([ffb400]일괄[ffffff]) [DECEA3]모드-방어구[-] 냉각 메시 개조","([ffb400]Pakiet[ffffff]) [DECEA3]Modyfikacja-Pancerz[-] Siatka chłodząca — modyfikacja","([ffb400]Pacote[ffffff]) [DECEA3]Modificação-Armadura[-] Modificação de Malha de Resfriamento","([ffb400]пакет[ffffff]) [DECEA3]Модификация-Броня[-] Модификация «Вентиляционная сетка»","([ffb400]bohça[ffffff]) [DECEA3]Mod-Zırh[-] Soğutma Zinciri Modu","([ffb400]包裹[ffffff]) [DECEA3]模组-护甲[-] 散热网模组","([ffb400]包裹[ffffff]) [DECEA3]模組-護甲[-] 散熱網模組"
modArmorCustomizedFittingsBundle,items,Bundle,,,"([ffb400]Bundle[ffffff]) [DECEA3]Mod-Armor[-] Fittings, Customized",,"([ffb400]Bündeln[ffffff]) [DECEA3]Mod-Rüstung[-] Angepasste Fittings-Mods","([ffb400]Manojo[ffffff]) [DECEA3]Modificaciones-Armadura[-] Modificación de ajuste personalizado","([ffb400]Paquet[ffffff]) [DECEA3]Modification-Armure[-] Modification de raccords sur mesure","([ffb400]impacchettare[ffffff]) [DECEA3]Mod-Armatura[-] Modifica dei bottoni personalizzati","([ffb400]包み[ffffff]) [DECEA3]MOD-アーマー[-] カスタム接合部改造パーツ","([ffb400]일괄[ffffff]) [DECEA3]모드-방어구[-] 커스텀 피팅 개조","([ffb400]Pakiet[ffffff]) [DECEA3]Modyfikacja-Pancerz[-] Niestandardowe połączenia — modyfikacja","([ffb400]Pacote[ffffff]) [DECEA3]Modificação-Armadura[-] Modificação de Acessórios Personalizados","([ffb400]пакет[ffffff]) [DECEA3]Модификация-Броня[-] Модификация «Индивидуальные соединения»","([ffb400]bohça[ffffff]) [DECEA3]Mod-Zırh[-] Özel Donanım Modu","([ffb400]包裹[ffffff]) [DECEA3]模组-护甲[-] 自定义配件模组","([ffb400]包裹[ffffff]) [DECEA3]模組-護甲[-] 定制配件模組"
modArmorDoubleStoragePocketBundle,items,Bundle,,,"([ffb400]Bundle[ffffff]) [DECEA3]Mod-Armor[-] Pocket x2",,"([ffb400]Bündeln[ffffff]) [DECEA3]Mod-Rüstung[-] Doppeltaschen-Mod für Rüstung","([ffb400]Manojo[ffffff]) [DECEA3]Modificaciones-Armadura[-] Modificación de bolsillo doble para armadura","([ffb400]Paquet[ffffff]) [DECEA3]Modification-Armure[-] Modification de double poche d'armure","([ffb400]impacchettare[ffffff]) [DECEA3]Mod-Armatura[-] Modifica della doppia tasca armatura","([ffb400]包み[ffffff]) [DECEA3]MOD-アーマー[-] アーマーダブルポケット改造パーツ","([ffb400]일괄[ffffff]) [DECEA3]모드-방어구[-] 방어구 2배 주머니 개조","([ffb400]Pakiet[ffffff]) [DECEA3]Modyfikacja-Pancerz[-] Dwukrotnie większa kieszeń na pancerzu — modyfikacja","([ffb400]Pacote[ffffff]) [DECEA3]Modificação-Armadura[-] Modificação de bolso duplo de armadura","([ffb400]пакет[ffffff]) [DECEA3]Модификация-Броня[-] Модификация «Сдвоенная бронированная сумка»","([ffb400]bohça[ffffff]) [DECEA3]Mod-Zırh[-] Zırh İki Kat Cep Modu","([ffb400]包裹[ffffff]) [DECEA3]模组-护甲[-] 护甲双收纳口袋模组","([ffb400]包裹[ffffff]) [DECEA3]模組-護甲[-] 護甲雙層收納袋模組"
modArmorImpactBracingBundle,items,Bundle,,,"([ffb400]Bundle[ffffff]) [DECEA3]Mod-Armor[-] Impact Bracing",,"([ffb400]Bündeln[ffffff]) [DECEA3]Mod-Rüstung[-] Schlag-Abwehr-Mod","([ffb400]Manojo[ffffff]) [DECEA3]Modificaciones-Armadura[-] Modificación de reducción de impacto","([ffb400]Paquet[ffffff]) [DECEA3]Modification-Armure[-] Modification d'amorti d'impact","([ffb400]impacchettare[ffffff]) [DECEA3]Mod-Armatura[-] Modifica dell'impalcatura","([ffb400]包み[ffffff]) [DECEA3]MOD-アーマー[-] 衝撃ブレーシング改造パーツ","([ffb400]일괄[ffffff]) [DECEA3]모드-방어구[-] 낙법 개조","([ffb400]Pakiet[ffffff]) [DECEA3]Modyfikacja-Pancerz[-] Amortyzator upadku — modyfikacja","([ffb400]Pacote[ffffff]) [DECEA3]Modificação-Armadura[-] Modificação de Proteção de Impacto","([ffb400]пакет[ffffff]) [DECEA3]Модификация-Броня[-] Модификация «Ударный амортизатор»","([ffb400]bohça[ffffff]) [DECEA3]Mod-Zırh[-] Darbeye Hazırlanma Modu","([ffb400]包裹[ffffff]) [DECEA3]模组-护甲[-] 冲击支撑模组","([ffb400]包裹[ffffff]) [DECEA3]模組-護甲[-] 防衝擊背帶模組"
modArmorImprovedFittingsBundle,items,Bundle,,,"([ffb400]Bundle[ffffff]) [DECEA3]Mod-Armor[-] Fittings, Improved",,"([ffb400]Bündeln[ffffff]) [DECEA3]Mod-Rüstung[-] Verbesserte Fittings-Mods","([ffb400]Manojo[ffffff]) [DECEA3]Modificaciones-Armadura[-] Modificación de ajuste mejorado","([ffb400]Paquet[ffffff]) [DECEA3]Modification-Armure[-] Modification de raccords améliorés","([ffb400]impacchettare[ffffff]) [DECEA3]Mod-Armatura[-] Modifica dei bottoni migliorati","([ffb400]包み[ffffff]) [DECEA3]MOD-アーマー[-] 改良型接合部改造パーツ","([ffb400]일괄[ffffff]) [DECEA3]모드-방어구[-] 피팅 개선 개조","([ffb400]Pakiet[ffffff]) [DECEA3]Modyfikacja-Pancerz[-] Poprawione połączenia — modyfikacja","([ffb400]Pacote[ffffff]) [DECEA3]Modificação-Armadura[-] Modificação de Encaixes Melhorados","([ffb400]пакет[ffffff]) [DECEA3]Модификация-Броня[-] Модификация «Улучшенные соединения»","([ffb400]bohça[ffffff]) [DECEA3]Mod-Zırh[-] İyileştirilmiş Donanım Modu","([ffb400]包裹[ffffff]) [DECEA3]模组-护甲[-] 改进配件模组","([ffb400]包裹[ffffff]) [DECEA3]模組-護甲[-] 改良配件模組"
modArmorInsulatedLinerBundle,items,Bundle,,,"([ffb400]Bundle[ffffff]) [DECEA3]Mod-Armor[-] Insulated Liner",,"([ffb400]Bündeln[ffffff]) [DECEA3]Mod-Rüstung[-] Isolierungs-Mod","([ffb400]Manojo[ffffff]) [DECEA3]Modificaciones-Armadura[-] Modificación de revestimiento con aislamiento","([ffb400]Paquet[ffffff]) [DECEA3]Modification-Armure[-] Modification de doublure isolante","([ffb400]impacchettare[ffffff]) [DECEA3]Mod-Armatura[-] Modifica del rivestimento isolante","([ffb400]包み[ffffff]) [DECEA3]MOD-アーマー[-] 断熱ライニング改造パーツ","([ffb400]일괄[ffffff]) [DECEA3]모드-방어구[-] 단열 안감 개조","([ffb400]Pakiet[ffffff]) [DECEA3]Modyfikacja-Pancerz[-] Podszewka z warstwą izolacji — modyfikacja","([ffb400]Pacote[ffffff]) [DECEA3]Modificação-Armadura[-] Modificação de Forro de Isolamento","([ffb400]пакет[ffffff]) [DECEA3]Модификация-Броня[-] Модификация «Теплая подкладка»","([ffb400]bohça[ffffff]) [DECEA3]Mod-Zırh[-] Yalıtımlı Astar Modu","([ffb400]包裹[ffffff]) [DECEA3]模组-护甲[-] 隔热内衬模组","([ffb400]包裹[ffffff]) [DECEA3]模組-護甲[-] 絕緣襯裏模組"
modArmorMuffledConnectorsBundle,items,Bundle,,,"([ffb400]Bundle[ffffff]) [DECEA3]Mod-Armor[-] Muffled Connectors",,"([ffb400]Bündeln[ffffff]) [DECEA3]Mod-Rüstung[-] Gedämpfte Verbindungs-Mod","([ffb400]Manojo[ffffff]) [DECEA3]Modificaciones-Armadura[-] Modificación de conectores de amortiguación","([ffb400]Paquet[ffffff]) [DECEA3]Modification-Armure[-] Modification de connecteurs étouffés","([ffb400]impacchettare[ffffff]) [DECEA3]Mod-Armatura[-] Modifica dei connettori attutiti","([ffb400]包み[ffffff]) [DECEA3]MOD-アーマー[-] 静音コネクター改造パーツ","([ffb400]일괄[ffffff]) [DECEA3]모드-방어구[-] 소음 방지 연결 장치 개조","([ffb400]Pakiet[ffffff]) [DECEA3]Modyfikacja-Pancerz[-] Wytłumione połączenia — modyfikacja","([ffb400]Pacote[ffffff]) [DECEA3]Modificação-Armadura[-] Modificação de Conectores Abafados","([ffb400]пакет[ffffff]) [DECEA3]Модификация-Броня[-] Модификация «Бесшумные соединения»","([ffb400]bohça[ffffff]) [DECEA3]Mod-Zırh[-] Sessiz Bağlantı Modu","([ffb400]包裹[ffffff]) [DECEA3]模组-护甲[-] 消音连接器模组","([ffb400]包裹[ffffff]) [DECEA3]模組-護甲[-] 消音器模組"
modArmorPlatingBasicBundle,items,Bundle,,,"([ffb400]Bundle[ffffff]) [DECEA3]Mod-Armor[-] Plating",,"([ffb400]Bündeln[ffffff]) [DECEA3]Mod-Rüstung[-] Panzerplatten-Mod","([ffb400]Manojo[ffffff]) [DECEA3]Modificaciones-Armadura[-] Modificación de placas de armadura","([ffb400]Paquet[ffffff]) [DECEA3]Modification-Armure[-] Modification de blindage d'armure","([ffb400]impacchettare[ffffff]) [DECEA3]Mod-Armatura[-] Modifica delle piastre per armatura","([ffb400]包み[ffffff]) [DECEA3]MOD-アーマー[-] アーマープレーティング改造パーツ","([ffb400]일괄[ffffff]) [DECEA3]모드-방어구[-] 갑옷 플레이트 추가 개조","([ffb400]Pakiet[ffffff]) [DECEA3]Modyfikacja-Pancerz[-] Dodatkowe płyty — modyfikacja","([ffb400]Pacote[ffffff]) [DECEA3]Modificação-Armadura[-] Modificação de Blindagem de Armadura","([ffb400]пакет[ffffff]) [DECEA3]Модификация-Броня[-] Модификация «Бронепластины»","([ffb400]bohça[ffffff]) [DECEA3]Mod-Zırh[-] Zırh Plakası Modu","([ffb400]包裹[ffffff]) [DECEA3]模组-护甲[-] 装甲板模组","([ffb400]包裹[ffffff]) [DECEA3]模組-護甲[-] 裝甲防護板模組"
