Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
modDyeBlack,item_modifiers,mod,,,"[DECEA3]Dye: [ffffff]Black",,"Färben: Schwarz","Tinte: Negro","Teinture : noire","Tintura: Nero","染料：黒","염색: 검정색","Barwnik: Czarny","Tintura: Preta","Краситель: Черный","Boya: Siyah","染色剂:黑色","染料：黑色"
modDyeBlack,item_modifiers,mod,,,"[DECEA3]Dye: [ffffff]Black",,"Färben: Schwarz","Tinte: Negro","Teinture : noire","Tintura: Nero","染料：黒","염색: 검정색","Barwnik: Czarny","Tintura: Preta","Краситель: Черный","Boya: Siyah","染色剂:黑色","染料：黑色"
modDyeblackbright,item_modifiers,mod,,,"[DECEA3]Dye: [ffffff]Black, Bright",,"Färben: Schwarz, 2","Tinte: Negro, 2","Teinture : noire, 2","Tintura: Nero, 2","染料：黒, 2","염색: 검정색, 2","Barwnik: Czarny, 2","Tintura: Preta, 2","Краситель: Черный, 2","Boya: Siyah, 2","染色剂:黑色, 2","染料：黑色, 2"
modDyeblackdark,item_modifiers,mod,,,"[DECEA3]Dye: [ffffff]Black, Dark",,"Färben: Schwarz, 3","Tinte: Negro, 3","Teinture : noire, 3","Tintura: Nero, 3","染料：黒, 3","염색: 검정색, 3","Barwnik: Czarny, 3","Tintura: Preta, 3","Краситель: Черный, 3","Boya: Siyah, 3","染色剂:黑色, 3","染料：黑色, 3"
modDyeblacklight,item_modifiers,mod,,,"[DECEA3]Dye: [ffffff]Black, Light",,"Färben: Schwarz, 4","Tinte: Negro, 4","Teinture : noire, 4","Tintura: Nero, 4","染料：黒, 4","염색: 검정색, 4","Barwnik: Czarny, 4","Tintura: Preta, 4","Краситель: Черный, 4","Boya: Siyah, 4","染色剂:黑色, 4","染料：黑色, 4"
modDyeBlue,item_modifiers,mod,,,"[DECEA3]Dye: [ffffff]Blue",,"Färben: Blau","Tinte: Azul","Teinture : bleue","Tintura: Blu","染料：青","염색: 파란색","Barwnik: Niebieski","Tintura: Azul","Краситель: Синий","Boya: Mavi","染色剂:蓝色","染料：藍色"
modDyebluebright,item_modifiers,mod,,,"[DECEA3]Dye: [ffffff]Blue, Bright",,"Färben: Blau, 2","Tinte: Azul, 2","Teinture : bleue, 2","Tintura: Blu, 2","染料：青, 2","염색: 파란색, 2","Barwnik: Niebieski, 2","Tintura: Azul, 2","Краситель: Синий, 2","Boya: Mavi, 2","染色剂:蓝色, 2","染料：藍色, 2"
modDyebluedark,item_modifiers,mod,,,"[DECEA3]Dye: [ffffff]Blue, Dark",,"Färben: Blau, 3","Tinte: Azul, 3","Teinture : bleue, 3","Tintura: Blu, 3","染料：青, 3","염색: 파란색, 3","Barwnik: Niebieski, 3","Tintura: Azul, 3","Краситель: Синий, 3","Boya: Mavi, 3","染色剂:蓝色, 3","染料：藍色, 3"
modDyebluelight,item_modifiers,mod,,,"[DECEA3]Dye: [ffffff]Blue, Light",,"Färben: Blau, 4","Tinte: Azul, 4","Teinture : bleue, 4","Tintura: Blu, 4","染料：青, 4","염색: 파란색, 4","Barwnik: Niebieski, 4","Tintura: Azul, 4","Краситель: Синий, 4","Boya: Mavi, 4","染色剂:蓝色, 4","染料：藍色, 4"
modDyeBrown,item_modifiers,mod,,,"[DECEA3]Dye: [ffffff]Brown",,"Färben: Braun","Tinte: Marrón","Teinture : marron","Tintura: Marrone","染料：茶","염색: 갈색","Barwnik: Brązowy","Tintura: Marrom","Краситель: Коричневый","Boya: Kahverengi","染色剂:棕色","染料：棕色"
