MOD_NAME,MOD_TYPE_ID,TESTED_GAME_VERSION,SAFE_TO_INSTALL,SAFE_TO_REMOVE,UNIQUE,QUOTE_FILE,EAC_FRIENDLY,SERVER_SIDE_PLAYER,SERVER_SIDE_DEDICATED,CLIENT_SIDE
AGF-4Modders-AntiCM,0,2.6,SAFE,SAFE,None,AGF-4Modders-AntiCM.txt,No,TBD,TBD,TBD
AGF-4Modders-CustomWindowEnteringDuration,0,2.6,SAFE,SAFE,None,AGF-4Modders-CustomWindowEnteringDuration.txt,No,TBD,TBD,TBD
AGF-4Modders-ESCWindowPlus,1,2.6,SAFE,TBD,None,AGF-4Modders-ESCWindowPlus.txt,Yes,Yes,Yes,None
AGF-4Modders-Fix4DestroyBiomeBadge,0,2.6,SAFE,TBD,None,AGF-4Modders-Fix4DestroyBiomeBadge.txt,No,TBD,TBD,TBD
AGF-4Modders-Fix4RemoveItems,0,2.6,SAFE,TBD,None,AGF-4Modders-Fix4RemoveItems.txt,No,TBD,TBD,TBD
AGF-NoEAC-AudioOptionsPlus,4,2.6,SAFE,TBD,Requires EAC off; ignores server mod requirements and applies only to the installing player.,AGF-NoEAC-AudioOptionsPlus.txt,No,N/A,N/A,Only
AGF-NoEAC-AutoRun,4,2.6,SAFE,TBD,"May only require client install, ignores server install.",AGF-NoEAC-AutoRun.txt,No,N/A,N/A,Only
AGF-NoEAC-ConsoleOpacityMod,0,2.6,SAFE,TBD,None,AGF-NoEAC-ConsoleOpacityMod.txt,No,TBD,TBD,TBD
AGF-NoEAC-CosmeticLockIcon,3,2.6,SAFE,TBD,"May only require client install, ignores server install.",AGF-NoEAC-CosmeticLockIcon.txt,No,No,No,Required
AGF-NoEAC-FlightAssist,4,2.6,SAFE,TBD,Updates Incoming.,AGF-NoEAC-FlightAssist.txt,No,N/A,N/A,Only
AGF-NoEAC-GlobalStormTracker,2,2.6,SAFE,TBD,Clients do not need this; local install has no effect,AGF-NoEAC-GlobalStormTracker.txt,No,Yes,Yes,None
AGF-NoEAC-ItemTypeIconColor,0,TBD,TBD,TBD,TBD,AGF-NoEAC-ItemTypeIconColor.txt,TBD,TBD,TBD,TBD
AGF-NoEAC-OpenAllButton,4,2.6,SAFE,TBD,Requires EAC off; ignores server mod requirements and applies only to the installing player.,AGF-NoEAC-OpenAllButton.txt,No,N/A,N/A,Only
AGF-NoEAC-ScreamerAlert,5,2.6,SAFE,TBD,Players can join without it; install locally for full features.,AGF-NoEAC-ScreamerAlert.txt,No,Hybrid,Hybrid,Optional
AGF-NoEAC-TerrainLeveler,0,2.6,SAFE,DANGEROUS,None,AGF-NoEAC-TerrainLeveler.txt,No,No,No,Required
AGF-NoEAC-VisualEntityTracker,5,2.6,SAFE,TBD,Players can join without it; install locally for full features.,AGF-NoEAC-VisualEntityTracker.txt,No,Hybrid,Hybrid,Optional
AGF-VP-MedicallyTreatOthers,1,2.6,SAFE,TBD,TBD,AGF-VP-MedicallyTreatOthers.txt,Yes,Yes,Yes,None
AGF-VP-MedicalTreatOthersTreatedInjuries,1,2.6,SAFE,TBD,TBD,AGF-VP-MedicalTreatOthersTreatedInjuries.txt,Yes,Yes,Yes,None
AGF-4Modders-10IngredientSlots,1,2.6,SAFE,SAFE,None,AGF-4Modders-10IngredientSlots.txt,Yes,Yes,Yes,None
AGF-4Modders-SkillPointCap,3,2.6,SAFE,DANGEROUS,None,AGF-4Modders-SkillPointCap.txt,No,No,No,Required
AGF-BackpackPlus-060Slots,1,2.6,SAFE,DANGEROUS,You may upgrade to the others.,AGF-BackpackPlus-060Slots.txt,Yes,Yes,Yes,None
AGF-BackpackPlus-072Slots,1,2.6,SAFE,DANGEROUS,You may swap with 84 or 119.,AGF-BackpackPlus-072Slots.txt,Yes,Yes,Yes,None
AGF-BackpackPlus-084Slots,1,2.6,SAFE,DANGEROUS,You may swap with 72 or 119.,AGF-BackpackPlus-084Slots.txt,Yes,Yes,Yes,None
AGF-BackpackPlus-119Slots,1,2.6,SAFE,DANGEROUS,You may swap with 84 or 72.,AGF-BackpackPlus-119Slots.txt,Yes,Yes,Yes,None
AGF-HUDPlus-1Main,1,2.6,SAFE,SAFE,None,AGF-HUDPlus-1Main.txt,Yes,Yes,Yes,None
AGF-HUDPlus-BMCounter,1,2.6,SAFE,SAFE,None,AGF-HUDPlus-BMCounter.txt,Yes,Yes,Yes,None
AGF-HUDPlus-HealthBars,1,2.6,SAFE,SAFE,None,AGF-HUDPlus-HealthBars.txt,Yes,Yes,Yes,None
AGF-HUDPlus-PurpleBook,1,2.6,SAFE,SAFE,None,AGF-HUDPlus-PurpleBook.txt,Yes,Yes,Yes,None
AGF-HUDPlus-RemoveEnteringPopUp,1,2.6,SAFE,SAFE,None,AGF-HUDPlus-RemoveEnteringPopUp.txt,Yes,Yes,Yes,None
AGF-HUDPluszOther-RemoveWrittentormAlerts,1,2.6,SAFE,SAFE,None,AGF-HUDPluszOther-RemoveWrittentormAlerts.txt,Yes,Yes,Yes,None
AGF-HUDPluszOther-SmallerInteractionPrompt,1,2.6,SAFE,SAFE,None,AGF-HUDPluszOther-SmallerInteractionPrompt.txt,Yes,Yes,Yes,None
AGF-HUDPluszOther-TinyBuffsPopUp,1,2.6,SAFE,SAFE,None,AGF-HUDPluszOther-TinyBuffsPopUp.txt,Yes,Yes,Yes,None
AGF-HUDPluszOther-Weekday,1,2.6,SAFE,SAFE,None,AGF-HUDPluszOther-Weekday.txt,Yes,Yes,Yes,None
AGF-NoEAC-EnhancedAGF,4,2.6,SAFE,SAFE,Requires EAC off; ignores server mod requirements and applies only to the installing player.,AGF-NoEAC-EnhancedAGF.txt,No,N/A,N/A,Only
AGF-NoEAC-ExpandedInteractionPrompts,4,2.6,SAFE,SAFE,Requires EAC off; ignores server mod requirements and applies only to the installing player.,AGF-NoEAC-ExpandedInteractionPrompts.txt,No,N/A,N/A,Only
AGF-NoEAC-LockableWorkstations,5,2.6,SAFE,DANGEROUS,Players can join without it; install locally for full features.,AGF-NoEAC-LockableWorkstations.txt,No,Hybrid,Hybrid,Optional
AGF-NoEAC-SortingBox,6,2.6,SAFE,DANGEROUS,Player Hosted game requires client install.,AGF-NoEAC-SortingBox.txt,No,No,Yes,Required
AGF-NoEAC-Toolbelt12Slots,4,2.6,SAFE,DANGEROUS,None,AGF-NoEAC-Toolbelt12Slots.txt,No,N/A,N/A,Only
AGF-VP-AdminModdingSupport,1,2.6,SAFE,DANGEROUS,None,AGF-VP-AdminModdingSupport.txt,Yes,Yes,Yes,None
AGF-VP-AlternativeRecipes,1,2.6,SAFE,SAFE,None,AGF-VP-AlternativeRecipes.txt,Yes,Yes,Yes,None
AGF-VP-AmmoDisassembly,1,2.6,SAFE,DANGEROUS,None,AGF-VP-AmmoDisassembly.txt,Yes,Yes,Yes,None
AGF-VP-ApiaryPlus,1,2.6,SAFE,DANGEROUS,None,AGF-VP-ApiaryPlus.txt,Yes,Yes,Yes,None
AGF-VP-ArcheryFeathersChange,1,2.6,SAFE,SAFE,None,AGF-VP-ArcheryFeathersChange.txt,Yes,Yes,Yes,None
AGF-VP-ArmorHarvestMods,1,2.6,SAFE,DANGEROUS,None,AGF-VP-ArmorHarvestMods.txt,Yes,Yes,Yes,None
AGF-VP-AutomobilesRespawn,1,2.6,SAFE,DANGEROUS,None,AGF-VP-AutomobilesRespawn.txt,Yes,Yes,Yes,None
AGF-VP-BedrollPlus,1,2.6,SAFE,DANGEROUS,None,AGF-VP-BedrollPlus.txt,Yes,Yes,Yes,None
AGF-VP-BetterEggChance,1,2.6,SAFE,SAFE,None,AGF-VP-BetterEggChance.txt,Yes,Yes,Yes,None
AGF-VP-BreakItGetIt,1,2.6,SAFE,SAFE,None,AGF-VP-BreakItGetIt.txt,Yes,Yes,Yes,None
AGF-VP-BuyTraderVendingMachines,1,2.6,SAFE,SAFE,None,AGF-VP-BuyTraderVendingMachines.txt,Yes,Yes,Yes,None
AGF-VP-CraftSewingKits,1,2.6,SAFE,SAFE,None,AGF-VP-CraftSewingKits.txt,Yes,Yes,Yes,None
AGF-VP-CraftStackEngBattCells,1,2.6,SAFE,DANGEROUS,None,AGF-VP-CraftStackEngBattCells.txt,Yes,Yes,Yes,None
AGF-VP-CraftVitamins,1,2.6,SAFE,SAFE,None,AGF-VP-CraftVitamins.txt,Yes,Yes,Yes,None
AGF-VP-DecorationBlock,1,2.6,SAFE,DANGEROUS,None,AGF-VP-DecorationBlock.txt,Yes,Yes,Yes,None
AGF-VP-DewsPlus,1,2.6,SAFE,DANGEROUS,None,AGF-VP-DewsPlus.txt,Yes,Yes,Yes,None
