Key,File,Type,english
cntRoboticInbox,blocks,Container,"Robotic Inbox"
cntRoboticInboxArmyGreen,blocks,Container,"Robotic Inbox"
cntRoboticInboxGreen,blocks,Container,"Robotic Inbox"
cntRoboticInboxGrey,blocks,Container,"Robotic Inbox"
cntRoboticInboxOrange,blocks,Container,"Robotic Inbox"
cntRoboticInboxPink,blocks,Container,"Robotic Inbox"
cntRoboticInboxCobalt,blocks,Container,"Robotic Inbox"
cntRoboticInboxPurple,blocks,Container,"Robotic Inbox"
cntRoboticInboxRed,blocks,Container,"Robotic Inbox"
cntRoboticInboxWhite,blocks,Container,"Robotic Inbox"
cntRoboticInboxYellow,blocks,Container,"Robotic Inbox"

cntRoboticInboxInsecure,blocks,Container,"Robotic Inbox Insecure"
cntRoboticInboxInsecureArmyGreen,blocks,Container,"Robotic Inbox Insecure"
cntRoboticInboxInsecureGreen,blocks,Container,"Robotic Inbox Insecure"
cntRoboticInboxInsecureGrey,blocks,Container,"Robotic Inbox Insecure"
cntRoboticInboxInsecureOrange,blocks,Container,"Robotic Inbox Insecure"
cntRoboticInboxInsecurePink,blocks,Container,"Robotic Inbox Insecure"
cntRoboticInboxInsecureCobalt,blocks,Container,"Robotic Inbox Insecure"
cntRoboticInboxInsecurePurple,blocks,Container,"Robotic Inbox Insecure"
cntRoboticInboxInsecureRed,blocks,Container,"Robotic Inbox Insecure"
cntRoboticInboxInsecureWhite,blocks,Container,"Robotic Inbox Insecure"
cntRoboticInboxInsecureYellow,blocks,Container,"Robotic Inbox Insecure"

cntRoboticInboxVariantHelper,blocks,Container,"Robotic Inbox"
cntRoboticInboxGroupDesc,blocks,Container,"This container will automatically distribute resources placed within it if they are present in other nearby containers.\n\nResources can be distributed to any container [00ff80]{cvar(roboticInboxRangeH:within # horizontal meters;at any horizontal distance;directly above or below)}[-] and [00ff80]{cvar(roboticInboxRangeV:within # vertical meters;at any vertical distance;at equal vertical height)}[-], so long as the following conditions are met:\n1. If inbox is locked, target must be locked, and share same password.\n2. If inbox is unlocked, target must also be unlocked.\n3. If inbox is within an LCB, target must also be within same LCB.\n4. Backpack, vehicle, and non-player-placed storage are ignored.\n\nPress & hold [FF8000][action:local:Activate][action:permanent:Activate][-] to lock it or set a combination."
