SoundDataNode	Category	Subcategory	V1Scope	V1PrimaryNeeds
biomegear_desert_grab	Ambient	World / Ambience / Loops	Primary	11_InteractionPrompts
biomegear_radiation_grab	Ambient	World / Ambience / Loops	Primary	11_InteractionPrompts
biomegear_smoke_grab	Ambient	World / Ambience / Loops	Primary	11_InteractionPrompts
biomegear_snow_grab	Ambient	World / Ambience / Loops	Primary	11_InteractionPrompts
cooler_grab	Ambient	World / Ambience / Loops	Primary	11_InteractionPrompts
coolerbev_lp	Ambient	World / Ambience / Loops	Primary	6_ElectricalAndBlockLoops
coolermini_lp	Ambient	World / Ambience / Loops	Primary	6_ElectricalAndBlockLoops
FireMediumLoop	Ambient	World / Ambience / Loops	OutOfScope	
FireSmallLoop	Ambient	World / Ambience / Loops	OutOfScope	
flashlight_grab	Ambient	World / Ambience / Loops	Primary	11_InteractionPrompts
flashlight_toggle	Ambient	World / Ambience / Loops	OutOfScope	
FridgeLP	Ambient	World / Ambience / Loops	OutOfScope	
FridgeSteelLP	Ambient	World / Ambience / Loops	OutOfScope	
headlight_grab	Ambient	World / Ambience / Loops	Primary	11_InteractionPrompts
light_bay1	Ambient	World / Ambience / Loops	OutOfScope	
light_bay2	Ambient	World / Ambience / Loops	OutOfScope	
light_bay3	Ambient	World / Ambience / Loops	OutOfScope	
light_off	Ambient	World / Ambience / Loops	OutOfScope	
light_on	Ambient	World / Ambience / Loops	OutOfScope	
light_pipebomb	Ambient	World / Ambience / Loops	OutOfScope	
torch_lp	Ambient	World / Ambience / Loops	OutOfScope	
underwater_lp	Ambient	World / Ambience / Loops	Primary	6_ElectricalAndBlockLoops
waterfallinginto	Ambient	World / Ambience / Loops	OutOfScope	
demolitionzexplodewarning	Combat	Explosions / Heavy Impacts	OutOfScope	
explosion_body	Combat	Explosions / Heavy Impacts	Primary	4_Explosions
explosion_buzzer1	Combat	Explosions / Heavy Impacts	Primary	4_Explosions
explosion_charge	Combat	Explosions / Heavy Impacts	Primary	4_Explosions
explosion_grenade	Combat	Explosions / Heavy Impacts	Primary	4_Explosions
explosion1	Combat	Explosions / Heavy Impacts	Primary	4_Explosions
explosion2	Combat	Explosions / Heavy Impacts	Primary	4_Explosions
explosion3	Combat	Explosions / Heavy Impacts	Primary	4_Explosions
grenade_grab	Combat	Explosions / Heavy Impacts	Primary	11_InteractionPrompts
grenade_place	Combat	Explosions / Heavy Impacts	Primary	11_InteractionPrompts
grenade_pullpin	Combat	Explosions / Heavy Impacts	OutOfScope	
grenade_throw	Combat	Explosions / Heavy Impacts	OutOfScope	
grenade_unholster	Combat	Explosions / Heavy Impacts	OutOfScope	
hulkexplode	Combat	Explosions / Heavy Impacts	Primary	4_Explosions
