Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
ammoBundle44MagnumBulletAP,items,Bundle,,,"[ffb400]Ammo[-] .44 Magnum, AP [DECEA3](500)",,"[ffb400]Munition[-] Panzerbrechende .44-Magnum-Munition [DECEA3](500)","[ffb400]Municiones[-] Munición con perforación de armadura de Magnum 0.44 [DECEA3](500)","[ffb400]Munitions[-] Munition AP .44 Magnum [DECEA3](500)","[ffb400]Munizioni[-] Munizioni perforanti per .44 Magnum [DECEA3](500)","[ffb400]弾薬[-] AP.44マグナム弾 [DECEA3](500)","[ffb400]탄약[-] AP .44 매그넘 탄약 [DECEA3](500)","[ffb400]Amunicja[-] Przeciwpancerna amunicja Magnum .44 [DECEA3](500)","[ffb400]Munição[-] Munição de .44 Magnum AP [DECEA3](500)","[ffb400]Боеприпасы[-] Бронебойные патроны .44 Magnum [DECEA3](500)","[ffb400]Mühimmat[-] AP .44 Magnum Mühimmatı [DECEA3](500)","[ffb400]弹药[-] .44马格南穿甲弹 [DECEA3](500)","[ffb400]彈藥[-] AP .44 馬格南彈藥 [DECEA3](500)"
ammoBundle44MagnumBulletBall,items,Bundle,,,"[ffb400]Ammo[-] .44 Magnum [DECEA3](500)",,"[ffb400]Munition[-] .44-Magnum-Munition [DECEA3](500)","[ffb400]Municiones[-] Munición de Magnum 0.44 [DECEA3](500)","[ffb400]Munitions[-] Munition .44 Magnum [DECEA3](500)","[ffb400]Munizioni[-] Munizioni per .44 Magnum [DECEA3](500)","[ffb400]弾薬[-] .44マグナム弾 [DECEA3](500)","[ffb400]탄약[-] .44 매그넘 탄약 [DECEA3](500)","[ffb400]Amunicja[-] Amunicja Magnum .44 [DECEA3](500)","[ffb400]Munição[-] Munição de .44 Magnum [DECEA3](500)","[ffb400]Боеприпасы[-] Патроны .44 Magnum [DECEA3](500)","[ffb400]Mühimmat[-] .44 Magnum Mühimmatı [DECEA3](500)","[ffb400]弹药[-] .44马格南弹药 [DECEA3](500)","[ffb400]彈藥[-] .44 馬格南彈藥 [DECEA3](500)"
ammoBundle44MagnumBulletHP,items,Bundle,,,"[ffb400]Ammo[-] .44 Magnum, HiPower [DECEA3](500)",,"[ffb400]Munition[-] HiPower-.44-Magnum-Munition [DECEA3](500)","[ffb400]Municiones[-] Munición expansiva de Magnum 0.44 [DECEA3](500)","[ffb400]Munitions[-] Munition HtePuissance .44 Magnum [DECEA3](500)","[ffb400]Munizioni[-] Munizioni HiPower per .44 Magnum [DECEA3](500)","[ffb400]弾薬[-] ハイパワー.44マグナム弾 [DECEA3](500)","[ffb400]탄약[-] 하이파워 .44 매그넘 탄약 [DECEA3](500)","[ffb400]Amunicja[-] Wzmocniona amunicja Magnum .44 [DECEA3](500)","[ffb400]Munição[-] Munição .44 Magnum de alto desempenho [DECEA3](500)","[ffb400]Боеприпасы[-] Усиленные патроны .44 Magnum [DECEA3](500)","[ffb400]Mühimmat[-] HiPower .44 Magnum Mühimmatı [DECEA3](500)","[ffb400]弹药[-] .44马格南空心弹 [DECEA3](500)","[ffb400]彈藥[-] HiPower .44馬格南彈藥 [DECEA3](500)"
ammoBundle762mmBulletAP,items,Bundle,,,"[ffb400]Ammo[-] 7.62mm, AP [DECEA3](500)",,"[ffb400]Munition[-] Panzerbrechende 7,62-mm-Munition [DECEA3](500)","[ffb400]Municiones[-] Munición con perforación de armadura de 7,62 mm [DECEA3](500)","[ffb400]Munitions[-] Munition AP cal. 7,62 mm [DECEA3](500)","[ffb400]Munizioni[-] Munizioni perforanti per una 7,62 mm [DECEA3](500)","[ffb400]弾薬[-] AP 7.62mm弾 [DECEA3](500)","[ffb400]탄약[-] AP 7.62mm 탄약 [DECEA3](500)","[ffb400]Amunicja[-] Przeciwpancerna amunicja 7,62 mm [DECEA3](500)","[ffb400]Munição[-] Munição 7.62 mm AP [DECEA3](500)","[ffb400]Боеприпасы[-] Бронебойные патроны 7,62 мм [DECEA3](500)","[ffb400]Mühimmat[-] AP 7,62 mm Mühimmat [DECEA3](500)","[ffb400]弹药[-] 7.62毫米穿甲弹 [DECEA3](500)","[ffb400]彈藥[-] AP 7.62 毫米彈藥 [DECEA3](500)"
ammoBundle762mmBulletBall,items,Bundle,,,"[ffb400]Ammo[-] 7.62mm [DECEA3](500)",,"[ffb400]Munition[-] 7,62-mm-Munition [DECEA3](500)","[ffb400]Municiones[-] Munición de 7,62 mm [DECEA3](500)","[ffb400]Munitions[-] Munition cal. 7,62 mm [DECEA3](500)","[ffb400]Munizioni[-] Munizioni per una 7,62 mm [DECEA3](500)","[ffb400]弾薬[-] 7.62mm弾 [DECEA3](500)","[ffb400]탄약[-] 7.62mm 탄약 [DECEA3](500)","[ffb400]Amunicja[-] Amunicja 7,62 mm [DECEA3](500)","[ffb400]Munição[-] Munição 7.62 mm [DECEA3](500)","[ffb400]Боеприпасы[-] Патроны 7,62 мм [DECEA3](500)","[ffb400]Mühimmat[-] 7,62 mm Mühimmat [DECEA3](500)","[ffb400]弹药[-] 7.62毫米弹药 [DECEA3](500)","[ffb400]彈藥[-] 7.62 毫米彈藥 [DECEA3](500)"
ammoBundle762mmBulletHP,items,Bundle,,,"[ffb400]Ammo[-] 7.62mm, HiPower [DECEA3](500)",,"[ffb400]Munition[-] HiPower-7,62-mm-Munition [DECEA3](500)","[ffb400]Municiones[-] Munición expansiva de 7.62 mm [DECEA3](500)","[ffb400]Munitions[-] Munition HtePuissance cal. 7,62 mm [DECEA3](500)","[ffb400]Munizioni[-] Munizioni HiPower per 7,62 mm [DECEA3](500)","[ffb400]弾薬[-] ハイパワー7.62mm弾 [DECEA3](500)","[ffb400]탄약[-] 하이파워 7.62mm 탄약 [DECEA3](500)","[ffb400]Amunicja[-] Wzmocniona amunicja 7,62 mm [DECEA3](500)","[ffb400]Munição[-] Munição 7.62 mm de alto desempenho [DECEA3](500)","[ffb400]Боеприпасы[-] Усиленные патроны 7,62 мм [DECEA3](500)","[ffb400]Mühimmat[-] HiPower 7,62 mm Mühimmatı [DECEA3](500)","[ffb400]弹药[-] 7.62毫米马格南空心弹 [DECEA3](500)","[ffb400]彈藥[-] HiPower 7.62毫米彈藥 [DECEA3](500)"
ammoBundle9mmBulletAP,items,Bundle,,,"[ffb400]Ammo[-] 9mm, AP [DECEA3](500)",,"[ffb400]Munition[-] Panzerbrechende 9-mm-Munition [DECEA3](500)","[ffb400]Municiones[-] Munición con perforación de armadura de 9 mm [DECEA3](500)","[ffb400]Munitions[-] Munition AP cal. 9 mm [DECEA3](500)","[ffb400]Munizioni[-] Munizioni perforanti per 9 mm [DECEA3](500)","[ffb400]弾薬[-] AP 9mm弾 [DECEA3](500)","[ffb400]탄약[-] AP 9mm 탄약 [DECEA3](500)","[ffb400]Amunicja[-] Przeciwpancerna amunicja 9 mm [DECEA3](500)","[ffb400]Munição[-] Munição 9 mm AP [DECEA3](500)","[ffb400]Боеприпасы[-] Бронебойные патроны 9 мм [DECEA3](500)","[ffb400]Mühimmat[-] AP 9 mm Mühimmat [DECEA3](500)","[ffb400]弹药[-] 9毫米穿甲弹 [DECEA3](500)","[ffb400]彈藥[-] AP 9 毫米彈藥 [DECEA3](500)"
ammoBundle9mmBulletBall,items,Bundle,,,"[ffb400]Ammo[-] 9mm [DECEA3](500)",,"[ffb400]Munition[-] 9-mm-Munition [DECEA3](500)","[ffb400]Municiones[-] Munición de 9 mm [DECEA3](500)","[ffb400]Munitions[-] Munition cal. 9 mm [DECEA3](500)","[ffb400]Munizioni[-] Munizioni per 9 mm [DECEA3](500)","[ffb400]弾薬[-] 9mm弾 [DECEA3](500)","[ffb400]탄약[-] 9mm 탄약 [DECEA3](500)","[ffb400]Amunicja[-] Amunicja 9 mm [DECEA3](500)","[ffb400]Munição[-] Munição 9 mm [DECEA3](500)","[ffb400]Боеприпасы[-] Патроны 9 мм [DECEA3](500)","[ffb400]Mühimmat[-] 9 mm Mühimmat [DECEA3](500)","[ffb400]弹药[-] 9毫米弹药 [DECEA3](500)","[ffb400]彈藥[-] 9 毫米彈藥 [DECEA3](500)"
ammoBundle9mmBulletHP,items,Bundle,,,"[ffb400]Ammo[-] 9mm, HiPower [DECEA3](500)",,"[ffb400]Munition[-] HiPower-9-mm-Munition [DECEA3](500)","[ffb400]Municiones[-] Munición expansiva de 9 mm [DECEA3](500)","[ffb400]Munitions[-] Munition HtePuissance cal. 9 mm [DECEA3](500)","[ffb400]Munizioni[-] Munizioni HiPower per 9 mm [DECEA3](500)","[ffb400]弾薬[-] ハイパワー9mm弾 [DECEA3](500)","[ffb400]탄약[-] 하이파워 9mm 탄약 [DECEA3](500)","[ffb400]Amunicja[-] Wzmocniona amunicja 9 mm [DECEA3](500)","[ffb400]Munição[-] Munição 9 mm de alto desempenho [DECEA3](500)","[ffb400]Боеприпасы[-] Усиленные патроны 9 мм [DECEA3](500)","[ffb400]Mühimmat[-] HiPower 9 mm Mühimmatı [DECEA3](500)","[ffb400]弹药[-] 9毫米空心弹 [DECEA3](500)","[ffb400]彈藥[-] HiPower 9毫米彈藥 [DECEA3](500)"
ammoBundleArrowExploding,items,Bundle,,,"[ffb400]Ammo[-] Arrow, Exploding [DECEA3](500)",,"[ffb400]Munition[-] Sprengpfeil (Munition) [DECEA3](500)","[ffb400]Municiones[-] Flecha explosiva (munición) [DECEA3](500)","[ffb400]Munitions[-] Flèche explosive (munition) [DECEA3](500)","[ffb400]Munizioni[-] Freccia esplosiva (Munizioni) [DECEA3](500)","[ffb400]弾薬[-] 爆発矢（弾薬） [DECEA3](500)","[ffb400]탄약[-] 폭발 화살 (탄약) [DECEA3](500)","[ffb400]Amunicja[-] Wybuchowa strzała (amunicja) [DECEA3](500)","[ffb400]Munição[-] Flecha Explosiva (Munição) [DECEA3](500)","[ffb400]Боеприпасы[-] Взрывная стрела (боеприпасы) [DECEA3](500)","[ffb400]Mühimmat[-] Patlayan Ok (Mühimmat) [DECEA3](500)","[ffb400]弹药[-] 爆炸箭（弹药） [DECEA3](500)","[ffb400]彈藥[-] 爆炸箭（彈藥） [DECEA3](500)"
