Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
ScreamerAlert_Scout,ui,label,,,,"[FF5555]Screamer Alert[-]","","[FF5555]Schreier-Alarm[-]","[FF5555]Alerta de Chillona[-]","[FF5555]Alerte Hurleuse[-]","[FF5555]Allerta Urlatrice[-]","[FF5555]スクリーマー警告[-]","[FF5555]스크리머 경고[-]","[FF5555]Alert Wrzeszczotki[-]","[FF5555]Alerta de Gritadora[-]","[FF5555]Тревога: Крикунья[-]","[FF5555]Çığlıkçı Uyarısı[-]","[FF5555]尖叫者警报[-]","[FF5555]尖叫者警報[-]"
ScreamerAlert_Horde,ui,label,,,,"[FFA94D]Horde Incoming[-]","","[FFA94D]Horde nähert sich[-]","[FFA94D]Horda entrante[-]","[FFA94D]Horde en approche[-]","[FFA94D]Orda in arrivo[-]","[FFA94D]ホード接近中[-]","[FFA94D]호드 접근 중[-]","[FFA94D]Nadchodzi Horda[-]","[FFA94D]Horda a Caminho[-]","[FFA94D]Приближение орды[-]","[FFA94D]Horda Yaklaşıyor[-]","[FFA94D]尸潮来袭[-]","[FFA94D]屍潮來襲[-]"
ScreamerAlert_Scout_ChatStamped,ui,label,,,,"[FF5555][Screamer Alert][-][FFA94D][Day {0}, {1:D2}:{2:D2}][-]","","[FF5555][Schreier-Alarm][-][FFA94D][Tag {0}, {1:D2}:{2:D2}][-]","[FF5555][Alerta de Chillona][-][FFA94D][Día {0}, {1:D2}:{2:D2}][-]","[FF5555][Alerte Hurleuse][-][FFA94D][Jour {0}, {1:D2}:{2:D2}][-]","[FF5555][Allerta Urlatrice][-][FFA94D][Giorno {0}, {1:D2}:{2:D2}][-]","[FF5555][スクリーマー警告][-][FFA94D][{0}日目, {1:D2}:{2:D2}][-]","[FF5555][스크리머 경고][-][FFA94D][{0}일째, {1:D2}:{2:D2}][-]","[FF5555][Alert Wrzeszczotki][-][FFA94D][Dzień {0}, {1:D2}:{2:D2}][-]","[FF5555][Alerta de Gritadora][-][FFA94D][Dia {0}, {1:D2}:{2:D2}][-]","[FF5555][Тревога: Крикунья][-][FFA94D][День {0}, {1:D2}:{2:D2}][-]","[FF5555][Çığlıkçı Uyarısı][-][FFA94D][Gün {0}, {1:D2}:{2:D2}][-]","[FF5555][尖叫者警报][-][FFA94D][第 {0} 天, {1:D2}:{2:D2}][-]","[FF5555][尖叫者警報][-][FFA94D][第 {0} 天, {1:D2}:{2:D2}][-]"
ScreamerAlert_Horde_ChatStamped,ui,label,,,,"[FF5555][Horde Incoming][-][FFA94D][Day {0}, {1:D2}:{2:D2}][-]","","[FF5555][Horde nähert sich][-][FFA94D][Tag {0}, {1:D2}:{2:D2}][-]","[FF5555][Horda entrante][-][FFA94D][Día {0}, {1:D2}:{2:D2}][-]","[FF5555][Horde en approche][-][FFA94D][Jour {0}, {1:D2}:{2:D2}][-]","[FF5555][Orda in arrivo][-][FFA94D][Giorno {0}, {1:D2}:{2:D2}][-]","[FF5555][ホード接近中][-][FFA94D][{0}日目, {1:D2}:{2:D2}][-]","[FF5555][호드 접근 중][-][FFA94D][{0}일째, {1:D2}:{2:D2}][-]","[FF5555][Nadchodzi Horda][-][FFA94D][Dzień {0}, {1:D2}:{2:D2}][-]","[FF5555][Horda a Caminho][-][FFA94D][Dia {0}, {1:D2}:{2:D2}][-]","[FF5555][Приближение орды][-][FFA94D][День {0}, {1:D2}:{2:D2}][-]","[FF5555][Horda Yaklaşıyor][-][FFA94D][Gün {0}, {1:D2}:{2:D2}][-]","[FF5555][尸潮来袭][-][FFA94D][第 {0} 天, {1:D2}:{2:D2}][-]","[FF5555][屍潮來襲][-][FFA94D][第 {0} 天, {1:D2}:{2:D2}][-]"
ScreamerAlert_Chat_Status_Baseline,ui,label,,,,"[B8A3D8][Screamer Alert = {0}][-]","","","","","","","","","","","","",""
ScreamerAlert_Chat_Status_Enhanced,ui,label,,,,"[B8A3D8][Screamer Alert = {0}][-]","","","","","","","","","","","","",""
ScreamerAlert_Chat_SetOn_Baseline,ui,label,,,,"[B8A3D8][Screamer Alert = ON][-]","","","","","","","","","","","","",""
ScreamerAlert_Chat_SetOn_Enhanced,ui,label,,,,"[B8A3D8][Screamer Alert = ON][-]","","","","","","","","","","","","",""
ScreamerAlert_Chat_SetOff_Baseline,ui,label,,,,"[B8A3D8][Screamer Alert = OFF][-]","","","","","","","","","","","","",""
ScreamerAlert_Chat_SetOff_Enhanced,ui,label,,,,"[B8A3D8][Screamer Alert = OFF][-]","","","","","","","","","","","","",""
ScreamerAlert_Chat_SetCount_Baseline,ui,label,,,,"[B8A3D8][COUNT needs EnhancedAGF][-]","","","","","","","","","","","","",""
ScreamerAlert_Chat_SetCount_Enhanced,ui,label,,,,"[B8A3D8][Screamer Alert = COUNT][-]","","","","","","","","","","","","",""
ScreamerAlert_Chat_Invalid_Baseline,ui,label,,,,"[C38FAE][ERROR][-][86A67F][Use /agfsa][-]","","","","","","","","","","","","",""
ScreamerAlert_Chat_Invalid_Enhanced,ui,label,,,,"[C38FAE][ERROR][-][86A67F][Use /agfsa][-]","","","","","","","","","","","","",""
