Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
carAGFwideSedanPlanted,blocks,Name,,,,Vehicle Respawner,,Wiedererscheinen von Fahrzeugen,Reaparición de vehículos,Réapparition des véhicules,Reapparizione dei veicoli,車両再生,차량 재생,Odrodzenie pojazdów,Reaparecimento de veículos,Возрождение транспорта,Araç yeniden doğuşu,车辆重生,車輛重生
carAGFsedansPlanted,blocks,Name,,,,Vehicle Respawner,,Wiedererscheinen von Fahrzeugen,Reaparición de vehículos,Réapparition des véhicules,Reapparizione dei veicoli,車両再生,차량 재생,Odrodzenie pojazdów,Reaparecimento de veículos,Возрождение транспорта,Araç yeniden doğuşu,车辆重生,車輛重生
carAGFwide6LongPlanted,blocks,Name,,,,Vehicle Respawner,,Wiedererscheinen von Fahrzeugen,Reaparición de vehículos,Réapparition des véhicules,Reapparizione dei veicoli,車両再生,차량 재생,Odrodzenie pojazdów,Reaparecimento de veículos,Возрождение транспорта,Araç yeniden doğuşu,车辆重生,車輛重生
carAGF6LongPlanted,blocks,Name,,,,Vehicle Respawner,,Wiedererscheinen von Fahrzeugen,Reaparición de vehículos,Réapparition des véhicules,Reapparizione dei veicoli,車両再生,차량 재생,Odrodzenie pojazdów,Reaparecimento de veículos,Возрождение транспорта,Araç yeniden doğuşu,车辆重生,車輛重生
carAGFforkLiftPlanted,blocks,Name,,,,Vehicle Respawner,,Wiedererscheinen von Fahrzeugen,Reaparición de vehículos,Réapparition des véhicules,Reapparizione dei veicoli,車両再生,차량 재생,Odrodzenie pojazdów,Reaparecimento de veículos,Возрождение транспорта,Araç yeniden doğuşu,车辆重生,車輛重生
carAGFtractorPlanted,blocks,Name,,,,Vehicle Respawner,,Wiedererscheinen von Fahrzeugen,Reaparición de vehículos,Réapparition des véhicules,Reapparizione dei veicoli,車両再生,차량 재생,Odrodzenie pojazdów,Reaparecimento de veículos,Возрождение транспорта,Araç yeniden doğuşu,车辆重生,車輛重生
carAGFfireTruckPlanted,blocks,Name,,,,Vehicle Respawner,,Wiedererscheinen von Fahrzeugen,Reaparición de vehículos,Réapparition des véhicules,Reapparizione dei veicoli,車両再生,차량 재생,Odrodzenie pojazdów,Reaparecimento de veículos,Возрождение транспорта,Araç yeniden doğuşu,车辆重生,車輛重生
carAGFarmyTruckPlanted,blocks,Name,,,,Vehicle Respawner,,Wiedererscheinen von Fahrzeugen,Reaparición de vehículos,Réapparition des véhicules,Reapparizione dei veicoli,車両再生,차량 재생,Odrodzenie pojazdów,Reaparecimento de veículos,Возрождение транспорта,Araç yeniden doğuşu,车辆重生,車輛重生
carAGFfarmTruckPlanted,blocks,Name,,,,Vehicle Respawner,,Wiedererscheinen von Fahrzeugen,Reaparición de vehículos,Réapparition des véhicules,Reapparizione dei veicoli,車両再生,차량 재생,Odrodzenie pojazdów,Reaparecimento de veículos,Возрождение транспорта,Araç yeniden doğuşu,车辆重生,車輛重生
carAGFboxTrucksPlanted,blocks,Name,,,,Vehicle Respawner,,Wiedererscheinen von Fahrzeugen,Reaparición de vehículos,Réapparition des véhicules,Reapparizione dei veicoli,車両再生,차량 재생,Odrodzenie pojazdów,Reaparecimento de veículos,Возрождение транспорта,Araç yeniden doğuşu,车辆重生,車輛重生
