Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese

--BDub's Vehicles--
AGFvehicleBicycleOldBV,,,,,"Old Bicycle - Parts",Old Bicycle - Parts,"Altes Fahrrad - Teile","Bicicleta vieja - Piezas","Vieux vélo - Pièces","Vecchia bicicletta - Parti","古い自転車 - パーツ","오래된 자전거 - 부품","Stary Rower - Części","Bicicleta antiga - Peças","Старый велосипед - Запчасти","Eski Bisiklet - Parçalar","旧自行车 - 零件","舊自行車 - 零件"
AGFvehicleGolfCart,,,,,"Golf Cart - Parts",Golf Cart - Parts,"Golfwagen - Teile","Carro de golf - Piezas","Chariot de golf - Pièces","Carrello da golf - Parti","ゴルフカート - パーツ","골프 카트 - 부품","Wózek golfowy - Części","Carro de golfe - Peças","Гольф-кар - Запчасти","Golf Arabası - Parçalar","高尔夫球车 - 零件","高爾夫球車 - 零件"
AGFvehicleMinibikeOldBV,,,,,"Old Minibike - Parts",Old Minibike - Parts,"Altes Minibike - Teile","Minibike vieja - Piezas","Vieux minivélo - Pièces","Vecchia minimoto - Parti","古いミニバイク - パーツ","오래된 미니 바이크 - 부품","Stary Minibike - Części","Minimoto antiga - Peças","Старый мини-байк - Запчасти","Eski Minibike - Parçalar","旧迷你自行车 - 零件","舊迷你自行車 - 零件"
AGFvehicleJunker,,,,,"Junker - Parts",Junker - Parts,"Junker - Teile","Junker - Piezas","Junker - Pièces","Junker - Parti","ジャンク - パーツ","고물 - 부품","Junker - Części","Junker - Peças","Рухлядь - Запчасти","Junker - Parçalar","垃圾 - 零件","垃圾 - 零件"
AGFvehicleRat,,,,,"Rat - Parts",Rat - Parts,"Ratte - Teile","Rata - Piezas","Rat - Pièces","Ratto - Parti","ネズミ - パーツ","쥐 - 부품","Szczur - Części","Rato - Peças","Крыса - Запчасти","Fare - Parçalar","老鼠 - 零件","老鼠 - 零件"
AGFvehicleCruiser,,,,,"Cruiser - Parts",Cruiser - Parts,"Cruiser - Teile","Cruiser - Piezas","Cruiser - Pièces","Cruiser - Parti","クルーザー - パーツ","크루저 - 부품","Cruiser - Części","Cruiser - Peças","Крейсер - Запчасти","Cruiser - Parçalar","巡洋舰 - 零件","巡洋艦 - 零件"
AGFvehicleDirtBike,,,,,"Dirt Bike - Parts",Dirt Bike - Parts,"Dirt Bike - Teile","Moto de cross - Piezas","Moto tout-terrain - Pièces","Moto da cross - Parti","ダートバイク - パーツ","더트 바이크 - 부품","Dirt Bike - Części","Moto de trilha - Peças","Кроссовый мотоцикл - Запчасти","Dirt Bike - Parçalar","越野摩托车 - 零件","越野摩托車 - 零件"
AGFvehicleMotorcycleOldBV,,,,,"Old Motorcycle - Parts",Old Motorcycle - Parts,"Altes Motorrad - Teile","Motocicleta vieja - Piezas","Vieille moto - Pièces","Vecchia moto - Parti","古いバイク - パーツ","오래된 오토바이 - 부품","Stary Motocykl - Części","Motocicleta antiga - Peças","Старый мотоцикл - Запчасти","Eski Motosiklet - Parçalar","旧摩托车 - 零件","舊摩托車 - 零件"
AGFvehicleOldSemi,,,,,"Old Semi - Parts",Old Semi - Parts,"Alter Sattelschlepper - Teile","Viejo semirremolque - Piezas","Vieux semi-remorque - Pièces","Vecchio semirimorchio - Parti","古いセミトレーラー - パーツ","오래된 세미트레일러 - 부품","Stara Naczepa - Części","Caminhão antigo - Peças","Старый тягач - Запчасти","Eski Yarı Römork - Parçalar","旧半挂车 - 零件","舊半挂車 - 零件"
AGFvehicleBoxTruckPlain,,,,,"Box Truck - Parts",Box Truck - Parts,"Kastenwagen - Teile","Camión de caja - Piezas","Camion caisse - Pièces","Camion scatola - Parti","ボックス型トラック - パーツ","박스 트럭 - 부품","Ciężarówka skrzyniowa - Części","Caminhão baú - Peças","Грузовик с фургоном - Запчасти","Kutu Kamyonet - Parçalar","厢式货车 - 零件","廂式貨車 - 零件"
AGFvehicleBuggy,,,,,"Buggy - Parts",Buggy - Parts,"Buggy - Teile","Buggy - Piezas","Buggy - Pièces","Buggy - Parti","バギー - パーツ","버기 - 부품","Buggy - Części","Buggy - Peças","Багги - Запчасти","Buggy - Parçalar","越野车 - 零件","越野車 - 零件"
AGFvehicleHumvee,,,,,"Humvee - Parts",Humvee - Parts,"Humvee - Teile","Humvee - Piezas","Humvee - Pièces","Humvee - Parti","ハンヴィー - パーツ","험비 - 부품","Humvee - Części","Humvee - Peças","Хамви - Запчасти","Humvee - Parçalar","悍马 - 零件","悍馬 - 零件"
AGFvehicleHotRod1,,,,,"Hot Rod - Parts",Hot Rod - Parts,"Hot Rod - Teile","Hot Rod - Piezas","Hot Rod - Pièces","Hot Rod - Parti","ホットロッド - パーツ","핫로드 - 부품","Hot Rod - Części","Hot Rod - Peças","Хот-род - Запчасти","Hot Rod - Parçalar","肌肉车 - 零件","肌肉車 - 零件"
AGFvehicleSHERP,,,,,"SHERP - Parts",SHERP - Parts,"SHERP - Teile","SHERP - Piezas","SHERP - Pièces","SHERP - Parti","SHERP - パーツ","SHERP - 部品","SHERP - Części","SHERP - Peças","ШЕРП - Запчасти","SHERP - Parçalar","SHERP - 零件","SHERP - 零件"
AGFvehicleChargerNew,,,,,"Charger - Parts",Charger - Parts,"Charger - Teile","Charger - Piezas","Charger - Pièces","Charger - Parti","チャージャー - パーツ","차저 - 부품","Charger - Części","Charger - Peças","Charger - Запчасти","Charger - Parçalar","充电器 - 零件","充電器 - 零件"
AGFvehicleStallion,,,,,"Stallion - Parts",Stallion - Parts,"Stallion - Teile","Stallion - Piezas","Stallion - Pièces","Stallion - Parti","スタリオン - パーツ","스탤리언 - 부품","Stallion - Części","Stallion - Peças","Жеребец - Запчасти","Stallion - Parçalar","种马 - 零件","種馬 - 零件"
AGFvehicleWorkTruck,,,,,"Work Truck - Parts",Work Truck - Parts,"Arbeitswagen - Teile","Camión de trabajo - Piezas","Camion de travail - Pièces","Camion da lavoro - Parti","作業トラック - パーツ","작업용 트럭 - 부품","Ciężarówka robocza - Części","Caminhão de trabalho - Peças","Рабочий грузовик - Запчасти","İş Kamyoneti - Parçalar","工作卡车 - 零件","工作卡車 - 零件"
AGFvehicleNova,,,,,"Nova - Parts",Nova - Parts,"Nova - Teile","Nova - Piezas","Nova - Pièces","Nova - Parti","ノヴァ - パーツ","노바 - 부품","Nova - Części","Nova - Peças","Нова - Запчасти","Nova - Parçalar","新星 - 零件","新星 - 零件"
